"sample","reads_in","reads_out","retained_percent"
"LME1647",89062,82881,93.06
"LME1665",72651,66743,91.87
"LME1674",39215,36591,93.31
"LME1676",43706,40371,92.37
"LME1677",38845,35789,92.13
"LME1682",46285,42614,92.07
"LME1683",26986,18561,68.78
"LME1684",65077,57391,88.19
"LME1685",53352,48882,91.62
"LME1688",47009,42308,90
"LME1690",47679,43834,91.94
"LME1691",42600,37057,86.99
"LME1696",49027,44966,91.72
"LME1700",55172,50439,91.42
"LME1712",103821,96763,93.2
"LME1718",35775,32006,89.46
