Accession	Requested_species	NCBI_organism	NCBI_accepted_species	Phylum	Class	Order	Family	Genus	Taxonomy_source
AF283010.1	Abies koreana	Abies koreana	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AF283011.1	Abies koreana	Abies koreana f. chlorocarpa	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AF283012.1	Abies koreana	Abies koreana f. rubrocarpa	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AF283013.1	Abies koreana	Abies koreana f. nigrocarpa	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
JF499944.1	Abies koreana	Abies koreana	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AY605305.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605306.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366129.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366130.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
MW070140.1	Acer hyrcanum	Acer hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AF401127.1	Acer monspessulanum	Acer monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605307.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605308.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605309.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605310.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605311.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605312.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605313.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605314.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605315.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605316.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605317.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605318.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605319.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605320.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605321.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366124.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366125.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366126.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366127.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366128.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
MW070149.1	Acer monspessulanum	Acer monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605333.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605334.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605335.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605336.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605337.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
MW070153.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY603201.1	Achillea aspleniifolia	Achillea aspleniifolia	Achillea aspleniifolia	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603227.1	Achillea atrata	Achillea atrata	Achillea atrata	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603198.1	Achillea collina	Achillea collina	Achillea collina	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AB359797.1	Achillea nobilis	Achillea nobilis	Achillea nobilis	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603212.1	Achillea nobilis	Achillea nobilis	Achillea nobilis	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603200.1	Achillea roseoalba	Achillea roseoalba	Achillea roseoalba	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603211.1	Achillea virescens	Achillea virescens	Achillea virescens	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AF216547.1	Aconitum anthora	Aconitum anthora	Aconitum anthora	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
KF219806.1	Aconitum degenii	Aconitum degenii	Aconitum degenii	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
KF219819.1	Aconitum degenii	Aconitum degenii	Aconitum degenii	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
KF219823.1	Aconitum degenii	Aconitum degenii	Aconitum degenii	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
AF156998.1	Aegilops geniculata	Aegilops geniculata	Aegilops geniculata	Tracheophyta	Liliopsida	Poales	Poaceae	Aegilops	BOLD_GENUS_BACKBONE
EU687646.1	Aesculus flava	Aesculus flava	Aesculus flava	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687647.1	Aesculus flava	Aesculus flava	Aesculus flava	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687648.1	Aesculus flava	Aesculus flava	Aesculus flava	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687632.1	Aesculus parviflora	Aesculus parviflora	Aesculus parviflora	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687633.1	Aesculus parviflora	Aesculus parviflora	Aesculus parviflora	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
MF348846.1	Aesculus parviflora	Aesculus parviflora	Aesculus parviflora	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
AJ862698.1	Aethionema saxatile	Aethionema saxatile	Aethionema saxatile	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Aethionema	NCBI_LINEAGE
KJ598966.1	Agrostis alpina	Agrostis alpina	Agrostis alpina	Tracheophyta	Liliopsida	Poales	Poaceae	Agrostis	BOLD_GENUS_BACKBONE
EU072530.1	Alchemilla fissa	Alchemilla fissa	Alchemilla fissa	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	BOLD_GENUS_BACKBONE
AM777848.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
AY588940.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ011501.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ016540.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ016541.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ339078.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ339080.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ339083.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
DQ339085.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
JF778870.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KC573871.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KC573872.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KC573873.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KC573874.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KC573875.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KC573876.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812565.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812566.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812567.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812568.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812569.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812570.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812571.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812572.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812573.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KR812574.1	Alisma plantago-aquatica	Alisma plantago-aquatica	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KT898255.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KX674937.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KX674938.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
KX674939.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
MF095921.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
MF095922.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
MF095923.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
MF095924.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
MF095925.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
MF095926.1	Alisma plantago-aquatica	Alisma plantago-aquatica subsp. orientale	Alisma plantago-aquatica	Tracheophyta	Liliopsida	Alismatales	Alismataceae	Alisma	BOLD_GENUS_BACKBONE
AB243877.1	Alnus alnobetula	Alnus alnobetula subsp. maximowiczii	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
AY352309.1	Alnus alnobetula	Alnus alnobetula subsp. fruticosa	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
AY352315.1	Alnus alnobetula	Alnus alnobetula subsp. mandschurica	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
AY352316.1	Alnus alnobetula	Alnus alnobetula subsp. maximowiczii	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
AY352325.1	Alnus alnobetula	Alnus alnobetula subsp. sinuata	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
AY352329.1	Alnus alnobetula	Alnus alnobetula	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
FJ825380.1	Alnus alnobetula	Alnus alnobetula	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
HQ600563.1	Alnus alnobetula	Alnus alnobetula subsp. alnobetula	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
HQ600564.1	Alnus alnobetula	Alnus alnobetula subsp. alnobetula	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
HQ600571.1	Alnus alnobetula	Alnus alnobetula subsp. suaveolens	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
MF136517.1	Alnus alnobetula	Alnus alnobetula subsp. crispa	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
MF136518.1	Alnus alnobetula	Alnus alnobetula subsp. suaveolens	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
MF136519.1	Alnus alnobetula	Alnus alnobetula subsp. alnobetula	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
MF136534.1	Alnus alnobetula	Alnus alnobetula subsp. maximowiczii	Alnus alnobetula	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	BOLD_GENUS_BACKBONE
AY237924.1	Alyssum wulfenianum	Alyssum wulfenianum	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564042.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564043.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564045.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564046.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564047.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564048.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564049.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. wulfenianum	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564050.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. wulfenianum	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KJ564051.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KP015418.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KP015419.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KP015422.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
KP015423.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
MK097012.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
MK097013.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
MK097014.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
MK097015.1	Alyssum wulfenianum	Alyssum wulfenianum subsp. ovirense	Alyssum wulfenianum	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Alyssum	BOLD_GENUS_BACKBONE
AF210909.1	Amaranthus blitoides	Amaranthus blitoides	Amaranthus blitoides	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KC747410.1	Amaranthus blitoides	Amaranthus blitoides	Amaranthus blitoides	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KF385442.1	Amaranthus blitoides	Amaranthus blitoides	Amaranthus blitoides	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
MG685206.1	Amaranthus blitoides	Amaranthus blitoides	Amaranthus blitoides	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
MG685207.1	Amaranthus blitoides	Amaranthus blitoides	Amaranthus blitoides	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
AF210907.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KC747415.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KC747416.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KX079504.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KX079511.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KX079513.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KX079514.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KX079515.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
MG685215.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
MG685216.1	Amaranthus caudatus	Amaranthus caudatus	Amaranthus caudatus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
AF210912.1	Amaranthus cruentus	Amaranthus cruentus	Amaranthus cruentus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
KC747420.1	Amaranthus cruentus	Amaranthus cruentus	Amaranthus cruentus	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	BOLD_GENUS_BACKBONE
